branch,from,to,rate_mw,p_at_limit,mean_util,p95_util,p_overload_unconstrained,mean_overload_mw,max_overload_mw
1,bus 1,bus 2,340.0,0.0,0.48333516982363517,0.6769967724683973,0.0,0.0,0.0
2,bus 1,bus 5,160.0,0.0,0.5181863851439108,0.7391967674129929,0.0,0.0,0.0
3,bus 2,bus 3,155.0,0.0,0.48438389537263976,0.8558532236100788,0.1251,4.975818628001422,180.34638171066513
4,bus 2,bus 4,121.0,0.0131,0.5585975916449527,0.9337141083370945,0.0561,0.6618464187752308,45.319891702322536
5,bus 2,bus 5,90.0,0.0059,0.5614842549576029,0.9206883216179038,0.0616,0.5506728824171602,34.92726776167777
6,bus 3,bus 4,54.0,0.2933,0.5569460352053944,1.0000000000000004,0.2731,13.164450175870519,283.0536182893348
7,bus 4,bus 5,139.0,0.0637,0.535694142205604,0.9999999999999996,0.0908,1.9592902929910714,109.49989691369603
8,bus 4,bus 7,64.0,0.1057,0.5510368752274659,1.0,0.1438,2.632089845818897,122.87357207624441
9,bus 4,bus 9,37.0,0.0,0.5580566607017229,0.9924999975702986,0.1303,1.4317106771010897,70.22601146515859
10,bus 5,bus 6,93.0,0.0046,0.5182472951064971,0.8005593568248364,0.0742,1.0511090509834145,90.5325212251393
11,bus 6,bus 11,25.0,0.1313,0.45258124223617907,1.0,0.0995,0.9050941920168805,68.40403244018134
12,bus 6,bus 12,25.0,0.0182,0.4173824243717954,0.8163090458865959,0.032,0.14873922531939457,24.332630749350102
13,bus 6,bus 13,38.0,0.1611,0.6058864999458414,1.0,0.1645,1.994291756751301,81.67090905918246
14,bus 7,bus 8,25.0,0.0745,0.09344318706258534,1.0,0.0501,2.89355890444111,75.00000000000188
15,bus 7,bus 9,64.0,0.1285,0.5856764506520851,1.0,0.147,2.927042170989829,156.088435947476
16,bus 9,bus 10,25.0,0.1136,0.4506828534985432,1.0,0.1063,1.0590628284737875,60.19125274337307
17,bus 9,bus 14,25.0,0.1597,0.49539926578151244,1.0,0.1844,2.3297377304987195,85.49376577470986
18,bus 10,bus 11,25.0,0.0429,0.3450720293390087,0.9762811785917999,0.0554,0.5100497996682974,67.26865109658434
19,bus 12,bus 13,25.0,0.0,0.16881388920978366,0.3922668484682936,0.0012,0.002852808899103084,7.685827764360795
20,bus 13,bus 14,25.0,0.0771,0.37767054249078624,1.0,0.0825,0.7441354422906147,59.235154042310285
