lambda,util,mean_mw,p_shed,p_expensive,p_congested,mean_cost,ens_pct
0.5,0.24662123660706314,190.49024315529556,0.0395,0.1585,0.1725,3879.050706361239,1.364669256026705
0.6,0.29594548392847575,228.58829178635466,0.0895,0.2305,0.248,4704.237120045237,2.2185196144873296
0.7,0.3452697312498884,266.6863404174138,0.1595,0.3305,0.349,5504.088285505879,3.414915340474137
0.8,0.394593978571301,304.7843890484729,0.2375,0.4295,0.4425,6282.446621512607,4.913781710071586
0.9,0.4439182258927137,342.882437679532,0.326,0.507,0.524,7032.733042574774,6.654061312046549
1.0,0.4932424732141263,380.9804863105911,0.4145,0.599,0.6115,7755.401627952699,8.571162358829651
1.1,0.542566720535539,419.0785349416503,0.49,0.6645,0.679,8448.776718119721,10.600000887845756
1.2,0.5918909678569515,457.1765835727093,0.574,0.7215,0.737,9092.30326487983,12.733799644733761
1.3,0.6412152151783642,495.27463220376853,0.6365,0.7795,0.789,9692.128849983823,14.916221205485693
1.4,0.6905394624997768,533.3726808348276,0.6975,0.8245,0.832,10263.229706591752,17.111442542296317
1.5,0.7398637098211893,571.4707294658866,0.754,0.8585,0.8705,10815.359404903467,19.283027725731085
1.6,0.789187957142602,609.5687780969458,0.793,0.8785,0.89,11326.666318056778,21.427090190239852
