gen,name,bus,pmax,cost,p_dispatched,mean_mw,capacity_factor
1,H Power GEN1,Ewa-West,58.0,10.0,1.0,58.0,1.0
2,H Power GEN2,Ewa-West,28.0,10.0,1.0,28.0,1.0
3,Kalaeloa combined cycle,Ewa-West,220.0,96.054293,1.0,220.0,1.0
4,Kahe K1,Kahe,77.9,126.396861,1.0,77.90000000000008,1.0000000000000009
5,Kahe K2,Kahe,78.1,126.396861,1.0,78.09999999999992,0.9999999999999991
6,Kahe K3,Kahe,82.1,126.396861,1.0,81.69453796029993,0.9950613637064547
7,Kahe K4,Kahe,87.2,126.396861,0.977,54.25396110585661,0.6221784530488144
8,Kahe K5,Kahe,128.1,126.396861,0.0013,0.08016444217271801,0.0006257958015044342
9,Kahe K6,Kahe,128.7,126.396861,0.0,0.0,0.0
10,Waiau W3,Ewa-Central,47.2,134.48258,0.9236,40.48559031013303,0.8577455574180726
11,Waiau W4,Ewa-Central,47.7,134.48258,0.7762,32.29301484077753,0.6770024075634702
12,Waiau W5,Ewa-Central,51.9,134.48258,0.579,25.831560600131244,0.49771793063836695
13,Waiau W6,Ewa-Central,51.8,134.48258,0.4283,18.531719388479832,0.35775520054980375
14,Waiau W7,Ewa-Central,77.8,134.48258,0.2873,17.26384299610685,0.22190029557977956
15,Waiau W8,Ewa-Central,77.8,134.48258,0.1785,10.617241651186161,0.13646840168619745
16,Schofield Generating Station S1,Ewa-Central,8.4,147.332413,0.0878,0.6987117680050665,0.08317997238155553
17,Schofield Generating Station S2,Ewa-Central,8.4,147.332413,0.0783,0.6248614880949798,0.0743882723922595
18,Schofield Generating Station S3,Ewa-Central,8.4,147.332413,0.0708,0.5660710808163313,0.06738941438289658
19,Schofield Generating Station S4,Ewa-Central,8.4,147.332413,0.0646,0.4986909205915345,0.05936796673708744
20,Schofield Generating Station S5,Ewa-Central,8.4,147.332413,0.0546,0.4228752501939567,0.05034229168975675
21,Schofield Generating Station S6,Ewa-Central,8.4,147.332413,0.047,0.36777770950046024,0.04378306065481669
22,Waiau W10,Ewa-Central,51.2,222.342737,0.0397,1.055554579438238,0.020616300379653084
23,Waiau W9,Ewa-Central,51.2,222.342737,0.0079,0.1430753110158067,0.0027944396682774743
24,Campbell Industrial Park CIP1,Ewa-West,113.0,237.972266,0.0,0.0,0.0
