gen,name,bus,pmax,cost,p_dispatched,mean_mw,capacity_factor
1,H Power GEN1,Ewa-West,58.0,10.0,0.999,57.34677945281458,0.9887375767726652
2,H Power GEN2,Ewa-West,28.0,10.0,0.9807,27.404943998188024,0.9787479999352866
3,Kalaeloa combined cycle,Ewa-West,220.0,96.054293,0.9763,206.01221977122168,0.9364191807782803
4,Kahe K1,Kahe,77.9,126.396861,0.9078,66.93098026778156,0.8591910175581715
5,Kahe K2,Kahe,78.1,126.396861,0.8084,58.287822540125134,0.7463229518581964
6,Kahe K3,Kahe,82.1,126.396861,0.6773,48.92265120874434,0.5958910013245352
7,Kahe K4,Kahe,87.2,126.396861,0.5005,25.98323926308466,0.29797292732895253
8,Kahe K5,Kahe,128.1,126.396861,0.097,6.355611628672964,0.04961445455638536
9,Kahe K6,Kahe,128.7,126.396861,0.0329,3.143815876534867,0.024427473788149707
10,Waiau W3,Ewa-Central,47.2,134.48258,0.5813,26.12011918821175,0.5533923556824523
11,Waiau W4,Ewa-Central,47.7,134.48258,0.5273,23.778683609713564,0.49850489747827176
12,Waiau W5,Ewa-Central,51.9,134.48258,0.4709,23.1148108791392,0.44537207859613104
13,Waiau W6,Ewa-Central,51.8,134.48258,0.4198,20.56352781630306,0.3969793014730321
14,Waiau W7,Ewa-Central,77.8,134.48258,0.373,26.562165477211337,0.34141600870451594
15,Waiau W8,Ewa-Central,77.8,134.48258,0.3096,21.717948486290855,0.27915100882121924
16,Schofield Generating Station S1,Ewa-Central,8.4,147.332413,0.2514,2.084869161993899,0.24819870976117844
17,Schofield Generating Station S2,Ewa-Central,8.4,147.332413,0.245,2.032630059745516,0.2419797690173233
18,Schofield Generating Station S3,Ewa-Central,8.4,147.332413,0.2391,1.9841401010419457,0.2362071548859459
19,Schofield Generating Station S4,Ewa-Central,8.4,147.332413,0.2335,1.9333960916637138,0.23016620138853736
20,Schofield Generating Station S5,Ewa-Central,8.4,147.332413,0.227,1.876296102040212,0.2233685835762157
21,Schofield Generating Station S6,Ewa-Central,8.4,147.332413,0.2206,1.8313697607144899,0.21802020960886784
22,Waiau W10,Ewa-Central,51.2,222.342737,0.215,10.196824044529619,0.1991567196197191
23,Waiau W9,Ewa-Central,51.2,222.342737,0.1838,8.667469943872092,0.1692865223412518
24,Campbell Industrial Park CIP1,Ewa-West,113.0,237.972266,0.0548,5.147552480344722,0.045553561772962145
