branch,from,to,rate_mw,p_at_limit,mean_util,p95_util,p_overload_unconstrained,mean_overload_mw,max_overload_mw
1,Kahe,Ewa-West,400.0,0.0,0.2677040099767476,0.2957622179812827,0.0,0.0,0.0
2,Kahe,Waianae,200.0,0.2435,0.9247352975881502,1.0000000000000007,0.6229,25.695771837788012,81.15297777017327
3,Ewa-West,Ewa-Central,400.0,0.6877,0.9773568739103706,1.0000000000000004,0.9236,97.88450772468822,195.1148214763092
4,Ewa-Central,Honolulu,600.0,0.0,0.4704883806894908,0.6278600197494768,0.0,0.0,0.0
5,Honolulu,Koolaupoko,200.0,0.0,0.07858365350435051,0.08858567820373014,0.0,0.0,0.0
6,Waianae,Waialua,200.0,0.0,0.733688643783337,0.7797836731241565,0.3036,5.364801154922477,27.258275614025024
7,Waialua,Wahiawa,200.0,0.0,0.09049640282732013,0.14347567303695613,0.0,0.0,0.0
8,Wahiawa,Ewa-Central,400.0,0.0,0.04051430988688697,0.12450239805340378,0.0,0.0,0.0
9,Waialua,Koolauloa,200.0,0.0,0.6049569666585155,0.7368446875034979,0.0,0.0,0.0
10,Koolauloa,Koolaupoko,200.0,0.0,0.5244476248436627,0.6322194353188056,0.0,0.0,0.0
