branch,from,to,rate_mw,p_at_limit,mean_util,p95_util,p_overload_unconstrained,mean_overload_mw,max_overload_mw
1,Kahe,Ewa-West,400.0,0.0078,0.22731556203334763,0.49850210276463147,0.0,0.0,0.0
2,Kahe,Waianae,200.0,0.2835,0.7902062790474658,1.0000000000000007,0.4783,29.463892546661594,284.4052103370525
3,Ewa-West,Ewa-Central,400.0,0.3658,0.8132439676554093,1.0000000000000002,0.5548,84.43036720335134,393.62477595231235
4,Ewa-Central,Honolulu,600.0,0.0734,0.4246802741219772,1.0,0.0854,15.816263118215959,550.8995505300886
5,Honolulu,Koolaupoko,200.0,0.0122,0.28494667592340084,0.7852715427487008,0.0431,2.341558709719972,203.98316922172415
6,Waianae,Waialua,200.0,0.0048,0.6134974819486654,0.9388403887854837,0.3168,13.236955210192752,153.48391957233503
7,Waialua,Wahiawa,200.0,0.0,0.12282657127069642,0.32253910186914253,0.0,0.0,0.0
8,Wahiawa,Ewa-Central,400.0,0.0,0.08039262676478175,0.23055582377161574,0.0,0.0,0.0
9,Waialua,Koolauloa,200.0,0.0616,0.5300588199796917,0.9999999999999997,0.1377,7.618314813798509,194.16562001746513
10,Koolauloa,Koolaupoko,200.0,0.0221,0.4544454657675868,0.9350991729180083,0.1068,5.688901079238689,185.6940283070577
