hour,timestamp_hst,net_load_mw,gross_residential_mw,gross_commercial_mw,gross_industrial_mw,dgpv_mw,load_Honolulu_mw,load_Ewa-Central_mw,load_Koolaupoko_mw,load_Waianae_mw,load_Wahiawa_mw,load_Ewa-West_mw,load_Koolauloa_mw,load_Waialua_mw,load_Kahe_mw
1,2021-01-01T01:00:00,671.4047,273.6889,362.7710,60.8364,25.8916,399.7042,152.5128,51.6251,16.5459,15.6043,19.8086,9.4769,6.1268,0.0000
2,2021-01-01T02:00:00,628.3848,231.1809,356.7819,63.9772,23.5551,381.0118,139.4030,46.6639,14.4679,13.9257,18.7344,8.5747,5.6035,0.0000
3,2021-01-01T03:00:00,599.9838,208.4523,350.9751,63.1093,22.5528,367.5913,131.2127,43.7236,13.2962,12.9494,17.8995,8.0412,5.2699,0.0000
4,2021-01-01T04:00:00,588.2616,203.7308,344.5324,62.6549,22.6565,360.6697,128.5393,42.7857,12.9866,12.6636,17.5837,7.8685,5.1644,0.0000
5,2021-01-01T05:00:00,612.9824,210.6770,364.2091,61.4753,23.3791,376.9951,133.2238,44.5134,13.4723,13.1516,18.0969,8.1930,5.3363,0.0000
6,2021-01-01T06:00:00,654.8483,260.8740,362.2559,56.8289,25.1105,392.3107,147.4102,49.9730,15.8877,15.0486,19.1303,9.1819,5.9060,0.0000
7,2021-01-01T07:00:00,716.1216,282.3740,424.0173,38.5168,28.7865,434.7920,157.5136,54.5021,17.1847,16.3062,19.5574,10.0524,6.2132,0.0000
8,2021-01-01T08:00:00,753.4600,328.7253,429.7078,34.8127,39.7858,451.0314,168.8541,58.8459,19.0082,17.7757,20.4388,10.8435,6.6624,0.0000
9,2021-01-01T09:00:00,708.8559,298.5470,515.8646,33.1949,138.7507,462.1195,139.4627,47.9195,13.1736,13.5514,18.3287,8.9220,5.3784,0.0000
10,2021-01-01T10:00:00,675.0135,279.4533,600.8907,35.7526,241.0831,477.7605,113.5662,38.0511,7.7632,9.6874,16.7469,7.1870,4.2511,0.0000
11,2021-01-01T11:00:00,650.4621,283.3543,660.5865,38.3806,331.8592,488.5549,95.0868,30.9683,3.8895,6.9196,15.6528,5.9403,3.4499,0.0000
12,2021-01-01T12:00:00,647.6127,280.0174,699.4846,39.3920,371.2813,500.7228,87.3575,27.9722,2.0667,5.6740,15.2958,5.4209,3.1027,0.0000
13,2021-01-01T13:00:00,650.6645,271.8906,710.9589,40.3882,372.5732,505.9718,86.3100,27.5025,1.6990,5.4472,15.3392,5.3419,3.0529,0.0000
14,2021-01-01T14:00:00,703.5832,267.1622,738.0591,41.4996,343.1378,536.4028,98.7689,31.9362,3.2189,6.8190,16.7362,6.1572,3.5441,0.0000
15,2021-01-01T15:00:00,767.6593,265.6261,743.6179,42.3170,283.9016,563.9558,118.6120,39.1528,6.2270,9.2660,18.6274,7.4628,4.3557,0.0000
16,2021-01-01T16:00:00,805.1686,281.6728,731.3085,42.2354,250.0480,574.7380,132.9570,44.4512,8.6653,11.1543,19.8361,8.4125,4.9543,0.0000
