hour,demand_mw,generation_mw,shed_mw,cost_usd,lines_at_limit,units_on,startups
1,382.6087389113274,382.6087389113253,0.0,38594.213602348944,0,19,17
2,1608.05294317209,943.3387389113273,664.7142042607562,128350.3411259892,1,19,0
3,724.4426612602595,724.4426612602599,0.0,76188.78048914575,0,19,0
4,745.3172985264135,745.3172985264049,0.0,81229.47394457938,0,19,0
5,393.1093145977657,393.1093145977588,0.0,39602.838976002175,0,19,0
6,963.8725883045167,928.1576191225669,35.71496918194188,128372.26323733134,1,19,0
7,315.8276191225735,315.8276191225667,0.0,38100.13571369132,0,17,0
8,441.12080984141437,441.1208098414041,0.0,53620.145913933375,0,17,0
9,1520.0591597989098,1054.7399999999907,465.31915979890914,152740.66287947888,1,20,3
10,929.6502838303803,855.0704791366501,74.57980469373064,130337.65512296288,1,20,0
11,220.70047913664837,220.70047913665022,0.0,29145.742101252872,0,17,0
12,361.6301178260746,361.6301178260654,0.0,47697.35270546324,0,17,0
13,1096.3451403790843,847.280117826081,249.06502255300683,133429.20703925542,1,19,2
14,539.0433019539694,539.0433019539664,0.0,70249.76409978847,0,19,0
15,1138.198816251175,1048.6381579210129,89.56065833015255,155558.88096403837,3,20,1
16,690.0143681841726,690.0143681841618,0.0,82545.05839223631,0,20,0
17,436.5639953290933,436.5639953291037,0.0,51326.540570912424,0,20,0
18,455.09584295091304,455.09584295091577,0.0,53106.60409220911,0,20,0
19,745.5739852805785,745.573985280579,0.0,97649.20082162732,0,20,0
20,297.35571794894736,297.3557179489504,0.0,35948.737311253804,0,18,0
21,700.005062496313,700.0050624963134,0.0,88944.95644251091,0,19,1
22,1050.2981033326523,1024.2109022614623,26.08720107118596,149133.6700458267,1,19,0
23,484.1137580094829,484.11375800949236,0.0,59525.791772274344,0,10,0
24,348.55985475764913,348.5598547576719,0.0,40479.943303410444,0,8,0
25,1888.0799395819968,874.889999999985,1013.1899395820128,129400.78821734812,2,18,10
26,514.4695681712532,514.4695681712535,0.0,62686.955847556674,0,18,0
27,1046.2250787875298,1040.3662698157787,5.8588089717509675,151175.65779299353,1,18,0
28,570.400308173894,570.4003081738939,0.0,70763.89915547283,0,18,0
29,318.0105728435853,318.0105728435855,0.0,41659.91410046142,0,17,0
30,653.0879171734009,653.0879171734014,0.0,95653.71704598414,1,17,0
31,500.66725030740764,500.66725030740804,0.0,65254.610903646055,0,17,0
32,539.0805677640661,539.0805677640662,0.0,70731.26712274647,0,17,0
33,505.0874830786165,505.08748307861646,0.0,71842.28960330982,0,17,0
34,208.36194754000934,208.3619475400095,0.0,27604.799464885138,0,16,0
35,1679.5225931961033,881.5519475400095,797.9706456560943,131096.14894421515,2,22,6
36,1870.0990294745543,1128.502284180219,741.5967452943355,156971.57178059273,3,22,0
37,578.0356933966473,572.2926248971747,5.74306849947282,68710.40682160713,1,21,0
38,1537.4455869647547,1118.6327321969966,418.81285476775867,157809.18085155403,2,21,0
39,554.4326307354844,554.4326307354848,0.0,65017.73314480024,0,21,0
40,391.4681699788584,391.46816997885844,0.0,44585.37274564308,0,21,0
41,325.53116120502307,325.53116120502307,0.0,39032.5894939199,0,20,0
42,490.1139255539316,490.11392555393127,0.0,54434.51993192462,0,22,2
43,600.9467859180859,600.9467859180861,0.0,67093.24199000507,0,22,0
44,584.0522413637244,584.0522413637246,0.0,65817.01309124916,0,22,0
45,1489.136838140568,1170.3209506889489,318.81588745162094,157379.71632100816,2,23,1
46,940.8538108082272,940.8538108082278,0.0,110936.5495914479,1,23,0
47,988.1510187819115,911.2703257812822,76.8806930006321,124002.63118953128,2,23,0
48,238.14624483608955,238.1462448360918,0.0,19666.11842130929,0,14,0
49,262.0116018202789,262.0116018202789,0.0,17766.669972644402,0,24,0
50,131.14472848400894,131.1447284840089,0.0,5196.344977208438,0,24,0
51,1054.5313862116195,1054.5313862116209,0.0,123670.04190239207,1,24,0
52,681.9742617548811,681.9742617548815,0.0,69771.2035135478,1,24,0
53,1668.7879021746733,1114.152733653564,554.6351685211104,139130.7158781474,2,24,0
54,425.0921943464398,425.09219434643967,0.0,37044.82399499192,0,24,0
55,943.9526802330879,943.9526802330882,0.0,106156.6233521064,1,24,0
56,618.4997458426159,618.4997458426161,0.0,61679.82322675135,1,24,0
57,1196.0317438678019,1109.3330085848838,86.6987352829199,137274.68627581542,2,24,0
58,589.9826690681836,589.9826690681847,0.0,57886.46240862033,0,24,0
59,318.2674124646839,318.2674124646844,0.0,23542.50688812838,0,24,0
60,364.627814543105,364.6278145431056,0.0,29402.316185538697,0,24,0
61,822.857010953592,822.8570109535931,0.0,88960.04291200674,1,24,0
62,615.2053440701014,615.2053440701017,0.0,61308.53851150998,1,24,0
63,302.81070564682926,302.8107056468293,0.0,21685.599045737297,0,24,0
64,935.3005227346251,935.3005227346259,0.0,104215.72079577239,1,24,0
65,404.8340225094485,404.83402250945016,0.0,34484.25466519785,0,24,0
66,513.7880889434024,513.7880889434025,0.0,48255.70665563488,0,24,0
67,268.0108130223498,268.0108130223498,0.0,18342.919963217002,0,24,0
68,511.51862442486436,511.5186244248646,0.0,47968.85346434081,0,24,0
69,256.436285211147,256.43628521114704,0.0,17231.136877503086,0,24,0
70,505.11584281771474,505.1158428177155,0.0,47159.56196752863,0,24,0
71,138.13425091591938,138.13425091591932,0.0,5867.718612813233,0,24,0
72,1121.4949244279337,1121.494924427934,0.0,127854.40635436904,1,24,0
73,972.4235445362591,963.4580989239529,8.96544561230661,123498.18840292277,1,24,0
74,337.524541651063,337.52454165106303,0.0,43924.745176712415,0,20,0
75,1049.5766308345544,845.604541651063,203.9720891834918,132491.68110273243,0,20,0
76,1121.1016072229536,971.4809425292563,149.62066469369856,149144.13361501944,3,20,0
77,583.977535863957,583.9775358639573,0.0,75817.70059657912,0,20,0
78,698.7593762997273,698.7593762997274,0.0,96151.0447346392,0,20,0
79,356.36251315517865,356.3625131551787,0.0,46188.6877088058,0,20,0
80,505.40443344611305,505.4044334461132,0.0,61689.43611099213,0,21,1
81,669.2144168977902,613.6030032891113,55.61141360868015,76892.12070077633,1,21,0
82,1156.5047727537753,1118.654218080494,37.85055467328158,159408.2903905834,1,21,0
83,499.92924030560357,499.9292403056037,0.0,62524.113881603,0,19,0
84,506.8506671285939,506.8506671285942,0.0,59202.089524730196,0,19,0
85,496.1968597493792,496.1968597493794,0.0,57187.9452182988,0,19,0
86,622.8228190562564,622.8228190562564,0.0,73898.91595022556,0,19,0
87,934.7120549270326,934.7120549270328,0.0,137625.4866818371,0,19,0
88,379.3755088377156,379.3755088377158,0.0,47133.15909570885,0,18,0
89,1035.0882685695376,955.8080163679858,79.28025220154996,141001.95493503386,1,19,1
90,773.1792168677671,773.1792168677682,0.0,93566.69304415188,0,19,0
91,956.1194262203687,860.9285994191886,95.19082680118188,109070.748055232,2,20,1
92,1453.481748948271,1089.9484623180992,363.53328663017186,157442.69128678454,2,20,0
93,960.0639019649315,960.0639019649318,0.0,139988.03313697455,0,20,0
94,343.2072659830202,343.2072659830203,0.0,41527.839573581965,0,16,0
95,727.7996770950766,727.7996770950764,0.0,92639.22915020573,0,16,0
96,539.4232476206552,539.4232476206563,0.0,62651.62495759668,0,16,0
97,461.13496643897014,461.1349664389701,0.0,56661.06067168807,0,18,2
98,1555.1122863357268,1066.587239170039,488.52504716568814,151813.75091539058,1,20,2
99,946.1609468856616,859.5998974404091,86.56104944525316,104112.33763763164,2,20,0
100,652.2499805718124,652.2499805718126,0.0,77321.89644832838,0,19,0
101,960.0828774599516,956.7288930943222,3.3539843656300197,142507.43184252694,1,17,0
102,449.10797175327866,449.1079717532782,0.0,57766.52646313104,0,16,0
103,550.3527834367154,550.3527834367155,0.0,75737.28028204764,0,16,0
104,350.9201108933552,350.92011089335534,0.0,49432.619306631736,0,14,0
105,125.09317564019594,125.09317564019594,0.0,16230.548406402431,0,13,0
106,545.7134251373774,545.7134251373781,0.0,77893.91383030228,0,16,3
107,1197.6405699627858,819.77,377.87056996278585,121288.20857111002,1,16,0
108,308.0031309015546,308.0031309015546,0.0,36137.7621903486,0,16,0
109,1156.107561481404,891.2331309015545,264.87443057984956,130894.68661453862,0,19,3
110,797.1139160714595,797.1139160714596,0.0,106869.29496756967,0,19,0
111,317.1116318413545,317.11163184135467,0.0,37535.91831323553,0,16,0
112,1003.0139605731913,859.7116318413546,143.30232873183724,126825.17693847556,1,17,1
113,784.0792001262992,784.0792001263003,0.0,101309.77790461239,0,17,0
114,489.6471282761594,489.6471282761596,0.0,60610.41407956517,0,17,0
115,181.49920721660428,181.49920721660385,0.0,23682.228784087278,0,15,0
116,585.9804917762939,585.9804917762941,0.0,97803.64815450762,0,16,1
117,437.8224950807721,437.8224950807731,0.0,57213.84060649968,0,16,0
118,315.3994754786662,315.39947547866507,0.0,41239.29408396638,0,16,0
119,1614.9223497033952,1050.3495682815228,564.5727814218694,147199.01797206636,2,23,7
120,617.8295682815223,617.829568281524,0.0,69038.88604066648,0,23,0
121,1407.0330741455155,1047.2031738929318,359.8299002525839,129838.95958212296,1,23,0
122,592.3212195453972,592.3212195453965,0.0,61252.90673892086,0,22,0
123,356.3623597367544,356.36235973675457,0.0,33819.294573367544,0,18,0
124,386.4779958840923,386.4779958840917,0.0,36741.47497176011,0,18,0
125,778.1828236665891,778.1828236665873,0.0,105198.41383248038,0,18,0
126,553.1792636282587,553.1792636282587,0.0,71112.71573710506,0,17,0
127,241.86806800467974,241.86806800467983,0.0,22982.747636846067,0,16,0
