hour,demand_mw,generation_mw,shed_mw,cost_usd,lines_at_limit,units_on,startups
1,671.404698,671.404698000001,0.0,91354.08900214595,0,21,19
2,628.3848300000002,628.3848300000004,0.0,63718.423576258676,0,20,0
3,599.9838190000002,599.9838190000003,0.0,60128.624936632186,0,20,0
4,588.2616339999998,588.261634,0.0,58646.97754857087,0,20,0
5,612.982356,612.9823560000008,0.0,61771.599211024615,0,20,0
6,654.848342,654.848342000001,0.0,67063.32842409458,0,20,0
7,716.1215829999999,716.121583000001,0.0,74808.07374979109,0,20,0
8,753.4599859999998,753.4599860000002,0.0,79702.48844736071,1,20,0
9,708.855893,708.8558930000008,0.0,73889.71334079196,0,20,0
10,675.0134779999998,675.0134780000008,0.0,69612.13831613265,0,20,0
11,650.4621500000001,650.4621500000002,0.0,66508.92752355117,0,20,0
12,647.6126750000001,647.6126750000009,0.0,66148.76282805328,0,20,0
13,650.6644890000001,650.6644890000008,0.0,66534.50253800912,0,20,0
14,703.58317,703.5831700000008,0.0,73223.25770466946,0,20,0
15,767.6593209999999,767.6593210000004,0.0,81594.40098771937,1,20,0
16,805.1686309999999,805.1686309999999,0.0,86754.50669727013,0,20,0
17,901.7692109999999,901.7692110000008,0.0,99698.05320772962,1,20,0
18,950.64074,950.6407400000006,0.0,108034.6029026495,1,20,0
19,944.7330109999999,944.7330110000005,0.0,106514.20202544895,1,19,0
20,911.2639779999998,911.2639780000004,0.0,101102.1479382745,1,14,0
21,871.361428,871.3614280000007,0.0,95519.00694807654,1,14,0
22,836.3436929999999,836.3436930000013,0.0,90745.87355410788,1,14,0
23,808.612893,808.6128930000006,0.0,87196.90408585285,1,13,0
24,737.8734669999999,737.8734670000011,0.0,77625.74818053575,1,11,0
25,694.3532340000003,694.3532340000008,0.0,71827.13334596563,1,11,0
26,646.1694759999999,646.1694760000008,0.0,65463.09185409493,0,11,0
27,613.493748,613.493748,0.0,61332.982404005015,0,12,1
28,604.8269030000001,604.8269030000007,0.0,60237.520401231566,0,12,0
29,625.163898,625.1638980000008,0.0,62808.05273140427,0,12,0
30,665.091766,665.0917660000016,0.0,67968.45047497746,0,12,0
31,722.992682,722.9926820000012,0.0,75643.03957116208,1,12,0
32,768.295753,768.2957530000011,0.0,81786.53167155584,1,12,0
33,746.976238,746.9762380000013,0.0,78838.5969940128,1,12,0
34,717.0093039999999,717.009304000001,0.0,74845.81717504941,1,12,0
35,702.257795,702.2577950000012,0.0,72880.33323750495,1,12,0
36,702.949838,702.949838,0.0,72972.54071272581,1,12,0
37,687.6752039999999,687.6752040000006,0.0,70937.35585273146,1,12,0
38,694.7061480000001,694.7061480000007,0.0,71874.1554369486,1,13,1
39,734.228042,734.2280420000004,0.0,77140.03351344477,1,14,1
40,810.442631,810.442631000001,0.0,87294.82855753534,1,17,3
41,890.5672260000001,890.5672260000013,0.0,98158.52585991414,1,18,1
42,948.4325980000001,948.4325980000001,0.0,106196.65118583414,1,19,1
43,964.083302,964.0833020000006,0.0,108622.08438916905,1,19,0
44,954.565284,954.5652840000006,0.0,107147.05062154181,1,17,0
45,914.436573,914.4365730000013,0.0,101438.97235944064,1,13,0
46,868.0829130000002,868.0829130000004,0.0,95068.42934930956,1,13,0
47,822.4635589999999,822.4635590000004,0.0,88896.4912008878,1,13,0
48,758.945554,758.9455540000008,0.0,80562.5162628942,1,10,0
49,646.3353129999999,646.3353130000007,0.0,65840.1481950926,0,11,1
50,602.3998839999999,602.3998840000003,0.0,59930.75281804416,0,11,0
51,572.975072,572.9750720000005,0.0,56211.54894572905,0,11,0
52,561.6048259999999,561.6048260000003,0.0,54774.38554253122,0,12,1
53,574.9671729999999,574.9671730000006,0.0,56463.344258924015,0,12,0
54,603.882585,603.8825849999998,0.0,60118.16157024566,0,13,1
55,646.996559,646.996559,0.0,65567.63254908129,0,13,0
56,670.048961,670.0489610000005,0.0,68588.84374486805,1,13,0
57,635.4185490000001,635.418549000001,0.0,64104.208428454804,0,13,0
58,597.8844770000001,597.8844770000003,0.0,59360.01954710673,0,13,0
59,569.24265,569.2426500000003,0.0,55739.782521001674,0,14,1
60,562.307906,562.3079060000003,0.0,54863.2526475631,0,14,0
61,595.1897530000001,595.1897530000003,0.0,59019.414892245375,0,14,0
62,601.044083,601.0440830000001,0.0,59759.383827503465,0,14,0
63,642.638702,642.6387019999995,0.0,65016.81310359435,0,14,0
64,700.347736,700.3477360000003,0.0,72730.21752549672,0,18,4
65,813.4287239999999,813.4287240000004,0.0,87693.7672669554,1,18,0
66,898.007844,898.0078440000008,0.0,99381.90357735555,1,18,0
67,926.481999,925.3000330019389,1.181965998062499,103559.56920104152,1,18,0
68,922.4672919999999,922.4672920000006,0.0,103172.45238042803,1,18,0
69,885.1758929999999,885.1758930000012,0.0,97417.57641259031,1,13,0
70,834.7925389999999,834.7925390000007,0.0,90539.19854400153,1,12,0
71,765.859112,765.8591120000012,0.0,81354.54200964997,1,12,0
72,693.3457730000001,693.3457730000013,0.0,71692.89972869962,1,9,0
73,599.34853,599.3485300000002,0.0,59581.74285091528,0,10,1
74,565.8148639999998,565.8148640000004,0.0,55138.66160398194,0,11,1
75,544.528797,544.5287970000003,0.0,52448.169552146246,0,11,0
76,541.938497,541.9384970000001,0.0,52120.76376309792,0,11,0
77,580.807823,580.8078230000008,0.0,57033.7245586837,0,11,0
78,660.0734799999999,660.0734800000007,0.0,67534.48278379638,0,12,1
79,768.5779300000002,768.5779300000008,0.0,81794.30171958232,1,12,0
80,805.3237109999999,805.3237110000003,0.0,86789.96345516772,1,13,1
81,748.2829220000001,748.2829220000008,0.0,79012.69893934228,1,13,0
82,695.0594280000001,695.0594280000004,0.0,71921.22629359488,1,13,0
83,663.9786450000001,663.9786450000007,0.0,67797.88296155342,0,13,0
84,635.230201,635.2302010000013,0.0,64164.16988131923,0,13,0
85,633.903566,633.9035660000005,0.0,63996.48738162639,0,14,1
86,666.540219,666.5402190000002,0.0,68121.65787437257,1,14,0
87,713.146024,713.1460240000001,0.0,74331.07561293273,1,16,2
88,761.562387,761.5623870000009,0.0,80782.04844498844,1,19,3
89,848.2875949999999,848.2875950000013,0.0,92347.89067516358,1,19,0
90,920.7938180000001,920.7938180000007,0.0,102312.67041690658,1,19,0
91,935.4888499999998,935.4888500000018,0.0,104332.25923451576,1,19,0
92,936.479166,936.479166000001,0.0,104468.36177035901,1,19,0
