metric,value
annual_net_peak_hour,6331
annual_net_peak_mw,1054.258
peak_hour_dispatch_cost_usd,117912.86
peak_hour_marginal_cost_usd_per_mwh,134.483
peak_hour_emissions_tonnes_co2,880.353
peak_day_dispatch_cost_usd,2.11538354e6
peak_day_emissions_tonnes_co2,16108.465
marginal_generator,Waiau W8
strongest_duck_curve_day_of_year,261
fleet_summer_capacity_mw,1508.1
network_congestion_cost_usd_per_hr,5838.55
network_loopflow_cost_usd_per_hr,7938.31
network_dcopf_peak_hour_cost_usd,131689.72
network_dcopf_peak_day_cost_usd,2.19268383e6
network_binding_branch_peak,Kahe→Waianae
network_highest_lmp_bus,Waianae
network_lmp_span_usd_per_mwh,126.4–455.7
network_peak_unserved_mwh,0.0
