hour,window_hour,demand_mw,name,fuel,dispatch_mw,varcost_usd_per_mwh,emissions_kg_co2
6313,1,723.309177,H Power GEN1,Municipal solid waste,58.0,10.0,39187.561263999996
6313,1,723.309177,H Power GEN2,Municipal solid waste,28.0,10.0,18918.133024
6313,1,723.309177,Kalaeloa combined cycle,LSFO,220.0,96.054293,148108.81162
6313,1,723.309177,Kahe K1,LSFO,31.16,126.396861,27664.26108812
6313,1,723.309177,Kahe K2,LSFO,31.24,126.396861,27735.28614868
6313,1,723.309177,Kahe K3,LSFO,32.84,126.396861,29155.787359880003
6313,1,723.309177,Kahe K4,LSFO,34.88,126.396861,30966.926404160004
6313,1,723.309177,Kahe K5,LSFO,94.02917699999989,126.396861,83480.3498853994
6313,1,723.309177,Kahe K6,LSFO,51.48,126.396861,45704.626470359995
6313,1,723.309177,Waiau W3,LSFO,18.88,134.48258,17878.352676479997
6313,1,723.309177,Waiau W4,LSFO,19.08,134.48258,18067.742005679997
6313,1,723.309177,Waiau W5,LSFO,20.76,134.48258,19658.61237096
6313,1,723.309177,Waiau W6,LSFO,20.72,134.48258,19620.73450512
6313,1,723.309177,Waiau W7,LSFO,31.12,134.48258,29468.97962352
6313,1,723.309177,Waiau W8,LSFO,31.12,134.48258,29468.97962352
6313,1,723.309177,Schofield Generating Station S1,ULSD_SGS,0.0,147.332413,0.0
6313,1,723.309177,Schofield Generating Station S2,ULSD_SGS,0.0,147.332413,0.0
6313,1,723.309177,Schofield Generating Station S3,ULSD_SGS,0.0,147.332413,0.0
6313,1,723.309177,Schofield Generating Station S4,ULSD_SGS,0.0,147.332413,0.0
6313,1,723.309177,Schofield Generating Station S5,ULSD_SGS,0.0,147.332413,0.0
6313,1,723.309177,Schofield Generating Station S6,ULSD_SGS,0.0,147.332413,0.0
6313,1,723.309177,Waiau W10,Diesel,0.0,222.342737,0.0
6313,1,723.309177,Waiau W9,Diesel,0.0,222.342737,0.0
6313,1,723.309177,Campbell Industrial Park CIP1,ULSD_CIP,0.0,237.972266,0.0
6314,2,684.980131,H Power GEN1,Municipal solid waste,58.0,10.0,39187.561263999996
6314,2,684.980131,H Power GEN2,Municipal solid waste,28.0,10.0,18918.133024
6314,2,684.980131,Kalaeloa combined cycle,LSFO,220.0,96.054293,148108.81162
6314,2,684.980131,Kahe K1,LSFO,31.16,126.396861,27664.26108812
6314,2,684.980131,Kahe K2,LSFO,31.24,126.396861,27735.28614868
6314,2,684.980131,Kahe K3,LSFO,32.94095400000008,126.396861,29245.415659427254
6314,2,684.980131,Kahe K4,LSFO,34.88,126.396861,30966.926404160004
6314,2,684.980131,Kahe K5,LSFO,55.59917699999989,126.396861,49361.686418889396
6314,2,684.980131,Kahe K6,LSFO,51.48,126.396861,45704.626470359995
6314,2,684.980131,Waiau W3,LSFO,18.88,134.48258,17878.352676479997
6314,2,684.980131,Waiau W4,LSFO,19.08,134.48258,18067.742005679997
6314,2,684.980131,Waiau W5,LSFO,20.76,134.48258,19658.61237096
6314,2,684.980131,Waiau W6,LSFO,20.72,134.48258,19620.73450512
6314,2,684.980131,Waiau W7,LSFO,31.12,134.48258,29468.97962352
6314,2,684.980131,Waiau W8,LSFO,31.12,134.48258,29468.97962352
6314,2,684.980131,Schofield Generating Station S1,ULSD_SGS,0.0,147.332413,0.0
6314,2,684.980131,Schofield Generating Station S2,ULSD_SGS,0.0,147.332413,0.0
6314,2,684.980131,Schofield Generating Station S3,ULSD_SGS,0.0,147.332413,0.0
6314,2,684.980131,Schofield Generating Station S4,ULSD_SGS,0.0,147.332413,0.0
6314,2,684.980131,Schofield Generating Station S5,ULSD_SGS,0.0,147.332413,0.0
6314,2,684.980131,Schofield Generating Station S6,ULSD_SGS,0.0,147.332413,0.0
6314,2,684.980131,Waiau W10,Diesel,0.0,222.342737,0.0
6314,2,684.980131,Waiau W9,Diesel,0.0,222.342737,0.0
6314,2,684.980131,Campbell Industrial Park CIP1,ULSD_CIP,0.0,237.972266,0.0
6315,3,653.24081,H Power GEN1,Municipal solid waste,58.0,10.0,39187.561263999996
