hour,window_hour,name,fuel,bus,dispatch_mw,varcost_usd_per_mwh,emissions_kg_co2
6313,1,H Power GEN1,Municipal solid waste,Ewa-West,58.0,10.0,39187.561263999996
6313,1,H Power GEN2,Municipal solid waste,Ewa-West,28.0,10.0,18918.133024
6313,1,Kalaeloa combined cycle,LSFO,Ewa-West,220.0,96.054293,148108.81162
6313,1,Kahe K1,LSFO,Kahe,31.16,126.396861,27664.26108812
6313,1,Kahe K2,LSFO,Kahe,31.24,126.396861,27735.28614868
6313,1,Kahe K3,LSFO,Kahe,32.84,126.396861,29155.787359880003
6313,1,Kahe K4,LSFO,Kahe,39.239177,126.396861,34837.06153436949
6313,1,Kahe K5,LSFO,Kahe,89.67,126.396861,79610.21475519
6313,1,Kahe K6,LSFO,Kahe,51.48,126.396861,45704.626470359995
6313,1,Waiau W3,LSFO,Ewa-Central,18.88,134.48258,17878.352676479997
6313,1,Waiau W4,LSFO,Ewa-Central,19.08,134.48258,18067.742005679997
6313,1,Waiau W5,LSFO,Ewa-Central,20.76,134.48258,19658.61237096
6313,1,Waiau W6,LSFO,Ewa-Central,20.72,134.48258,19620.73450512
6313,1,Waiau W7,LSFO,Ewa-Central,31.12,134.48258,29468.97962352
6313,1,Waiau W8,LSFO,Ewa-Central,31.12,134.48258,29468.97962352
6313,1,Schofield Generating Station S1,ULSD_SGS,Ewa-Central,0.0,147.332413,0.0
6313,1,Schofield Generating Station S2,ULSD_SGS,Ewa-Central,0.0,147.332413,0.0
6313,1,Schofield Generating Station S3,ULSD_SGS,Ewa-Central,0.0,147.332413,0.0
6313,1,Schofield Generating Station S4,ULSD_SGS,Ewa-Central,0.0,147.332413,0.0
6313,1,Schofield Generating Station S5,ULSD_SGS,Ewa-Central,0.0,147.332413,0.0
6313,1,Schofield Generating Station S6,ULSD_SGS,Ewa-Central,0.0,147.332413,0.0
6313,1,Waiau W10,Diesel,Ewa-Central,0.0,222.342737,0.0
6313,1,Waiau W9,Diesel,Ewa-Central,0.0,222.342737,0.0
6313,1,Campbell Industrial Park CIP1,ULSD_CIP,Ewa-West,0.0,237.972266,0.0
6314,2,H Power GEN1,Municipal solid waste,Ewa-West,58.0,10.0,39187.561263999996
6314,2,H Power GEN2,Municipal solid waste,Ewa-West,28.0,10.0,18918.133024
6314,2,Kalaeloa combined cycle,LSFO,Ewa-West,220.0,96.054293,148108.81162
6314,2,Kahe K1,LSFO,Kahe,35.620130999999986,126.396861,31624.024517876656
6314,2,Kahe K2,LSFO,Kahe,31.24,126.396861,27735.28614868
6314,2,Kahe K3,LSFO,Kahe,32.84,126.396861,29155.787359880003
6314,2,Kahe K4,LSFO,Kahe,34.88,126.396861,30966.926404160004
6314,2,Kahe K5,LSFO,Kahe,51.24,126.396861,45491.551288680006
6314,2,Kahe K6,LSFO,Kahe,51.48,126.396861,45704.626470359995
6314,2,Waiau W3,LSFO,Ewa-Central,18.88,134.48258,17878.352676479997
6314,2,Waiau W4,LSFO,Ewa-Central,19.08,134.48258,18067.742005679997
6314,2,Waiau W5,LSFO,Ewa-Central,20.76,134.48258,19658.61237096
6314,2,Waiau W6,LSFO,Ewa-Central,20.72,134.48258,19620.73450512
6314,2,Waiau W7,LSFO,Ewa-Central,31.12,134.48258,29468.97962352
6314,2,Waiau W8,LSFO,Ewa-Central,31.12,134.48258,29468.97962352
6314,2,Schofield Generating Station S1,ULSD_SGS,Ewa-Central,0.0,147.332413,0.0
