hour,window_hour,name,fuel,bus,dispatch_mw,varcost_usd_per_mwh,emissions_kg_co2
6331,1,H Power GEN1,Municipal solid waste,Ewa-West,58.0,10.0,39187.561263999996
6331,1,H Power GEN2,Municipal solid waste,Ewa-West,28.0,10.0,18918.133024
6331,1,Kalaeloa combined cycle,LSFO,Ewa-West,220.0,96.054293,148108.81162
6331,1,Kahe K1,LSFO,Kahe,31.16,126.396861,27664.26108812
6331,1,Kahe K2,LSFO,Kahe,31.24,126.396861,27735.28614868
6331,1,Kahe K3,LSFO,Kahe,32.84,126.396861,29155.787359880003
6331,1,Kahe K4,LSFO,Kahe,34.88,126.396861,30966.926404160004
6331,1,Kahe K5,LSFO,Kahe,51.24,126.396861,45491.551288680006
6331,1,Kahe K6,LSFO,Kahe,61.599195519132444,126.396861,54688.58240242078
6331,1,Waiau W3,LSFO,Ewa-Central,47.2,134.48258,44695.881691200004
6331,1,Waiau W4,LSFO,Ewa-Central,47.7,134.48258,45169.3550142
6331,1,Waiau W5,LSFO,Ewa-Central,51.9,134.48258,49146.530927399996
6331,1,Waiau W6,LSFO,Ewa-Central,51.8,134.48258,49051.836262799996
6331,1,Waiau W7,LSFO,Ewa-Central,77.8,134.48258,73672.44905879999
6331,1,Waiau W8,LSFO,Ewa-Central,77.8,134.48258,73672.44905879999
6331,1,Schofield Generating Station S1,ULSD_SGS,Ewa-Central,8.4,147.332413,6259.8409440000005
6331,1,Schofield Generating Station S2,ULSD_SGS,Ewa-Central,8.4,147.332413,6259.8409440000005
6331,1,Schofield Generating Station S3,ULSD_SGS,Ewa-Central,8.4,147.332413,6259.8409440000005
6331,1,Schofield Generating Station S4,ULSD_SGS,Ewa-Central,8.4,147.332413,6259.8409440000005
6331,1,Schofield Generating Station S5,ULSD_SGS,Ewa-Central,8.4,147.332413,6259.8409440000005
6331,1,Schofield Generating Station S6,ULSD_SGS,Ewa-Central,8.4,147.332413,6259.8409440000005
6331,1,Waiau W10,Diesel,Ewa-Central,49.49839248086762,222.342737,61751.399977884554
6331,1,Waiau W9,Diesel,Ewa-Central,51.2,222.342737,63874.229452800006
6331,1,Campbell Industrial Park CIP1,ULSD_CIP,Ewa-West,0.0,237.972266,0.0
