name,plant_code,bus,plant_latitude,plant_longitude,p_max_mw,bus_source
H Power GEN1,10334,Ewa-West,21.300036,-158.098615,58.0,"EIA-860 2024 plant coordinates, point-in-polygon on Census CCDs, Ewa sub-divided"
H Power GEN2,10334,Ewa-West,21.300036,-158.098615,28.0,"EIA-860 2024 plant coordinates, point-in-polygon on Census CCDs, Ewa sub-divided"
Kalaeloa combined cycle,54646,Ewa-West,21.302106,-158.096318,220.0,"EIA-860 2024 plant coordinates, point-in-polygon on Census CCDs, Ewa sub-divided"
Kahe K1,765,Kahe,21.356395,-158.128853,77.9,"EIA-860 2024 plant coordinates, point-in-polygon on Census CCDs, Ewa sub-divided"
Kahe K2,765,Kahe,21.356395,-158.128853,78.1,"EIA-860 2024 plant coordinates, point-in-polygon on Census CCDs, Ewa sub-divided"
Kahe K3,765,Kahe,21.356395,-158.128853,82.1,"EIA-860 2024 plant coordinates, point-in-polygon on Census CCDs, Ewa sub-divided"
Kahe K4,765,Kahe,21.356395,-158.128853,87.2,"EIA-860 2024 plant coordinates, point-in-polygon on Census CCDs, Ewa sub-divided"
Kahe K5,765,Kahe,21.356395,-158.128853,128.1,"EIA-860 2024 plant coordinates, point-in-polygon on Census CCDs, Ewa sub-divided"
Kahe K6,765,Kahe,21.356395,-158.128853,128.7,"EIA-860 2024 plant coordinates, point-in-polygon on Census CCDs, Ewa sub-divided"
Waiau W3,766,Ewa-Central,21.388997,-157.961518,47.2,"EIA-860 2024 plant coordinates, point-in-polygon on Census CCDs, Ewa sub-divided"
Waiau W4,766,Ewa-Central,21.388997,-157.961518,47.7,"EIA-860 2024 plant coordinates, point-in-polygon on Census CCDs, Ewa sub-divided"
Waiau W5,766,Ewa-Central,21.388997,-157.961518,51.9,"EIA-860 2024 plant coordinates, point-in-polygon on Census CCDs, Ewa sub-divided"
Waiau W6,766,Ewa-Central,21.388997,-157.961518,51.8,"EIA-860 2024 plant coordinates, point-in-polygon on Census CCDs, Ewa sub-divided"
Waiau W7,766,Ewa-Central,21.388997,-157.961518,77.8,"EIA-860 2024 plant coordinates, point-in-polygon on Census CCDs, Ewa sub-divided"
Waiau W8,766,Ewa-Central,21.388997,-157.961518,77.8,"EIA-860 2024 plant coordinates, point-in-polygon on Census CCDs, Ewa sub-divided"
Schofield Generating Station S1,60328,Ewa-Central,21.4785,-158.0581,8.4,"EIA-860 2024 plant coordinates, point-in-polygon on Census CCDs, Ewa sub-divided"
Schofield Generating Station S2,60328,Ewa-Central,21.4785,-158.0581,8.4,"EIA-860 2024 plant coordinates, point-in-polygon on Census CCDs, Ewa sub-divided"
Schofield Generating Station S3,60328,Ewa-Central,21.4785,-158.0581,8.4,"EIA-860 2024 plant coordinates, point-in-polygon on Census CCDs, Ewa sub-divided"
Schofield Generating Station S4,60328,Ewa-Central,21.4785,-158.0581,8.4,"EIA-860 2024 plant coordinates, point-in-polygon on Census CCDs, Ewa sub-divided"
Schofield Generating Station S5,60328,Ewa-Central,21.4785,-158.0581,8.4,"EIA-860 2024 plant coordinates, point-in-polygon on Census CCDs, Ewa sub-divided"
Schofield Generating Station S6,60328,Ewa-Central,21.4785,-158.0581,8.4,"EIA-860 2024 plant coordinates, point-in-polygon on Census CCDs, Ewa sub-divided"
Waiau W10,766,Ewa-Central,21.388997,-157.961518,51.2,"EIA-860 2024 plant coordinates, point-in-polygon on Census CCDs, Ewa sub-divided"
Waiau W9,766,Ewa-Central,21.388997,-157.961518,51.2,"EIA-860 2024 plant coordinates, point-in-polygon on Census CCDs, Ewa sub-divided"
Campbell Industrial Park CIP1,56329,Ewa-West,21.3025,-158.101667,113.0,"EIA-860 2024 plant coordinates, point-in-polygon on Census CCDs, Ewa sub-divided"
