hour,timestamp_hst,underlying_load_mw,dgpv_mw,residential_dbess_mw,commercial_dbess_mw,industrial_dbess_mw,other_dbess_mw,managed_ev_mw,energy_efficiency_mw,tou_shift_mw,future_ebus_mw,gross_load_mw,net_load_mw
1,2021-01-01T01:00:00-10:00,691.231446,0.0,0.0,-0.015632,0.0,-0.462643,5.833374,-25.413359,0.0,0.231513,697.296332,671.404698
2,2021-01-01T02:00:00-10:00,647.438398,0.0,0.0,-0.01501,0.0,-0.463844,4.307531,-23.076266,0.0,0.194021,651.93995,628.38483
3,2021-01-01T03:00:00-10:00,620.679047,0.0,0.0,-0.01497,0.0,-0.461796,1.857618,-22.076081,0.0,0.0,622.536666,599.983819
4,2021-01-01T04:00:00-10:00,609.967469,0.0,0.0,-0.013701,0.0,-0.461089,0.950662,-22.181706,0.0,0.0,610.91813,588.261634
5,2021-01-01T05:00:00-10:00,635.547246,0.0,0.0,-0.00057,0.0,-0.46222,0.814167,-22.916267,0.0,0.0,636.361413,612.982356
6,2021-01-01T06:00:00-10:00,677.487069,0.0,0.0,0.0,0.0,-0.506082,2.471809,-24.604453,0.0,0.0,679.958878,654.848342
7,2021-01-01T07:00:00-10:00,742.30153,0.0,0.0,0.0,0.0,-0.388295,2.606526,-28.398178,0.0,0.0,744.908056,716.121583
8,2021-01-01T08:00:00-10:00,789.703185,-8.12723,0.0,0.0,0.0,-0.109758,3.542603,-31.548814,0.0,0.0,793.245789,753.459986
9,2021-01-01T09:00:00-10:00,840.93911,-108.564684,0.0,0.011515,0.0,0.29272,6.667496,-30.490265,0.0,0.0,847.606606,708.855893
10,2021-01-01T10:00:00-10:00,911.845068,-217.903053,3.737472,0.03478,0.039724,1.110135,4.251493,-28.102141,0.0,0.0,916.096562,675.013478
11,2021-01-01T11:00:00-10:00,977.33879,-312.258064,6.700106,0.054411,0.147414,1.845763,4.982578,-28.348848,0.0,0.0,982.321368,650.46215
12,2021-01-01T12:00:00-10:00,1012.337665,-354.486485,8.956825,0.062629,0.158171,2.117441,5.231775,-28.089891,0.0,1.324545,1018.893985,647.612675
13,2021-01-01T13:00:00-10:00,1016.523496,-353.459375,8.429482,0.062293,0.0,1.448693,5.763311,-29.054307,0.0,0.950896,1023.237702,650.664489
14,2021-01-01T14:00:00-10:00,1040.896645,-322.639834,7.532267,0.0,0.0,0.984406,4.905647,-29.014605,0.0,0.918643,1046.720935,703.58317
15,2021-01-01T15:00:00-10:00,1045.641654,-259.720972,5.183292,0.0,0.0,0.573299,5.419342,-29.937247,0.0,0.499954,1051.56095,767.659321
16,2021-01-01T16:00:00-10:00,1050.00198,-222.954037,3.109572,0.0,0.0,0.458109,4.981802,-30.661663,0.0,0.232868,1055.216651,805.168631
17,2021-01-01T17:00:00-10:00,1055.278116,-122.402898,-1.615893,0.0,-0.065514,-0.086359,5.178887,-34.517129,0.0,0.0,1060.457004,901.769211
18,2021-01-01T18:00:00-10:00,1018.523846,-24.68647,-6.020147,-0.012253,-0.177265,-0.66087,4.440956,-40.767057,0.0,0.0,1022.964803,950.64074
19,2021-01-01T19:00:00-10:00,997.000014,0.0,-7.868997,-0.020671,-0.061093,-0.831986,3.489682,-46.97394,0.0,0.0,1000.489696,944.733011
20,2021-01-01T20:00:00-10:00,962.8501,0.0,-6.600242,-0.020641,0.0,-0.824781,3.852711,-47.993168,0.0,0.0,966.702811,911.263978
21,2021-01-01T21:00:00-10:00,921.196573,0.0,-7.200193,-0.018899,0.0,-0.812915,2.789706,-44.592845,0.0,0.0,923.986279,871.361428
22,2021-01-01T22:00:00-10:00,877.436101,0.0,-6.330486,-0.016885,0.0,-0.721407,4.64814,-38.671769,0.0,0.0,882.08424,836.343693
23,2021-01-01T23:00:00-10:00,840.237474,0.0,-2.766326,-0.014859,0.0,-0.470978,5.579575,-33.951992,0.0,0.0,845.817049,808.612893
24,2021-01-02T00:00:00-10:00,760.213199,0.0,0.0,-0.014444,0.0,-0.463844,5.560473,-29.642204,0.0,2.220288,767.99396,737.873467
25,2021-01-02T01:00:00-10:00,713.777374,0.0,0.0,-0.014413,0.0,-0.466457,5.384453,-25.787484,0.0,1.459762,720.621589,694.353234
26,2021-01-02T02:00:00-10:00,664.926101,0.0,0.0,-0.013637,0.0,-0.540341,4.665817,-23.51715,0.0,0.648685,670.240603,646.169476
27,2021-01-02T03:00:00-10:00,634.388086,0.0,0.0,-0.013398,0.0,-0.535537,2.006107,-22.467218,0.0,0.115708,636.5099,613.493748
28,2021-01-02T04:00:00-10:00,626.808397,0.0,0.0,-0.01402,0.0,-0.518091,0.789483,-22.277583,0.0,0.038716,627.636597,604.826903
29,2021-01-02T05:00:00-10:00,647.64874,0.0,0.0,-0.015031,0.0,-0.521693,0.963172,-22.91129,0.0,0.0,648.611912,625.163898
30,2021-01-02T06:00:00-10:00,687.384628,0.0,0.0,-0.009403,0.0,-0.406028,2.314933,-24.192363,0.0,0.0,689.699561,665.091766
31,2021-01-02T07:00:00-10:00,748.159013,0.0,0.0,0.0,0.0,-0.229913,2.09254,-27.028958,0.0,0.0,750.251553,722.992682
32,2021-01-02T08:00:00-10:00,804.348343,-8.44625,0.0,0.0,0.0,-0.192923,2.756705,-30.170122,0.0,0.0,807.105048,768.295753
33,2021-01-02T09:00:00-10:00,863.159554,-92.579823,0.097889,0.0,0.0,0.061936,6.372911,-30.13623,0.0,0.0,869.532465,746.976238
34,2021-01-02T10:00:00-10:00,934.030533,-197.126778,3.50981,0.010227,0.0,0.727739,5.730079,-29.872306,0.0,0.0,939.760612,717.009304
35,2021-01-02T11:00:00-10:00,987.786166,-267.851286,6.103064,0.023758,0.006805,1.225203,5.927183,-30.963098,0.0,0.0,993.713349,702.257795
36,2021-01-02T12:00:00-10:00,1018.394813,-299.419929,7.083173,0.029599,0.046168,1.483673,5.108037,-31.100242,0.0,1.324545,1024.827396,702.949838
37,2021-01-02T13:00:00-10:00,1031.921786,-329.801966,8.750064,0.03523,0.080491,1.690959,5.489826,-31.442081,0.0,0.950896,1038.362507,687.675204
38,2021-01-02T14:00:00-10:00,1038.612245,-329.342925,8.59036,0.037732,0.075444,1.597881,5.713137,-31.496369,0.0,0.918643,1045.244025,694.706148
39,2021-01-02T15:00:00-10:00,1031.380753,-279.210763,6.694863,0.025046,0.021383,1.056052,5.5899,-31.829145,0.0,0.499954,1037.470607,734.228042
40,2021-01-02T16:00:00-10:00,1037.435183,-201.526465,2.663347,0.007206,-0.05663,0.207757,4.014096,-32.534731,0.0,0.232868,1041.682148,810.442631
41,2021-01-02T17:00:00-10:00,1040.605582,-116.549754,-0.829823,-0.009993,-0.146026,-0.250658,4.376866,-36.628968,0.0,0.0,1044.982448,890.567226
42,2021-01-02T18:00:00-10:00,1016.518139,-23.561016,-5.064835,-0.028642,0.0,-0.824207,4.325214,-42.932055,0.0,0.0,1020.843353,948.432598
43,2021-01-02T19:00:00-10:00,1017.632848,0.0,-7.408866,-0.029466,0.0,-0.965411,3.5034,-48.649204,0.0,0.0,1021.136248,964.083302
44,2021-01-02T20:00:00-10:00,1006.869724,0.0,-7.446739,-0.028143,0.0,-0.937299,3.793228,-47.685486,0.0,0.0,1010.662951,954.565284
45,2021-01-02T21:00:00-10:00,961.692919,0.0,-6.875003,-0.024682,0.0,-0.64824,3.473154,-43.181575,0.0,0.0,965.166073,914.436573
46,2021-01-02T22:00:00-10:00,910.09281,0.0,-6.81302,-0.019039,0.0,-0.510251,4.030233,-38.69782,0.0,0.0,914.123043,868.082913
47,2021-01-02T23:00:00-10:00,855.079353,0.0,-3.812365,-0.008577,0.0,-0.530098,5.6922,-33.956953,0.0,0.0,860.771553,822.463559
48,2021-01-03T00:00:00-10:00,781.683326,0.0,0.0,0.0,0.0,-0.482068,5.212368,-29.688361,0.0,2.220288,789.115983,758.945554
49,2021-01-03T01:00:00-10:00,665.312778,0.0,0.0,0.0,0.0,-0.485882,5.649488,-25.600834,0.0,1.459762,672.422028,646.335313
50,2021-01-03T02:00:00-10:00,620.731542,0.0,0.0,0.0,0.0,-0.489767,4.86733,-23.357906,0.0,0.648685,626.247557,602.399884
