branch,from_bus,to_bus,corridor,circuits,straight_line_mi,length_mi,x_pu,r_pu,limit_mw,transport_cost_usd_per_mwh,topology_source,length_source,impedance_source,limit_source,transport_cost_source
1,Kahe,Ewa-West,leeward generation tie,2,2.856702,3.570878,0.015001,0.00225,400.0,0.302591,"Hawaiian Electric Power Delivery: two corridors, north and south",assumed: great-circle bus separation x 1.25 routing factor,assumed: 0.8 ohm/mi reactance and 0.12 ohm/mi resistance at 138 kV on a 100 MVA base,assumed: 200 MW per 138 kV circuit,assumed: per-unit resistance priced at the copper-plate marginal cost of $134.48/MWh
2,Kahe,Waianae,"north corridor, leeward coast",1,6.406418,8.008022,0.03364,0.005046,200.0,0.678588,"Hawaiian Electric Power Delivery: two corridors, north and south",assumed: great-circle bus separation x 1.25 routing factor,assumed: 0.8 ohm/mi reactance and 0.12 ohm/mi resistance at 138 kV on a 100 MVA base,assumed: 200 MW per 138 kV circuit,assumed: per-unit resistance priced at the copper-plate marginal cost of $134.48/MWh
3,Ewa-West,Ewa-Central,"south corridor, industrial to Pearl Harbor",2,6.072458,7.590572,0.031886,0.004783,400.0,0.643214,"Hawaiian Electric Power Delivery: two corridors, north and south",assumed: great-circle bus separation x 1.25 routing factor,assumed: 0.8 ohm/mi reactance and 0.12 ohm/mi resistance at 138 kV on a 100 MVA base,assumed: 200 MW per 138 kV circuit,assumed: per-unit resistance priced at the copper-plate marginal cost of $134.48/MWh
4,Ewa-Central,Honolulu,"south corridor, urban import path",3,11.755419,14.694273,0.061728,0.009259,600.0,1.245171,"Hawaiian Electric Power Delivery: two corridors, north and south",assumed: great-circle bus separation x 1.25 routing factor,assumed: 0.8 ohm/mi reactance and 0.12 ohm/mi resistance at 138 kV on a 100 MVA base,assumed: 200 MW per 138 kV circuit,assumed: per-unit resistance priced at the copper-plate marginal cost of $134.48/MWh
5,Honolulu,Koolaupoko,Koʻolau crossing to the windward side,1,7.433936,9.29242,0.039036,0.005855,200.0,0.787426,"Hawaiian Electric Power Delivery: two corridors, north and south",assumed: great-circle bus separation x 1.25 routing factor,assumed: 0.8 ohm/mi reactance and 0.12 ohm/mi resistance at 138 kV on a 100 MVA base,assumed: 200 MW per 138 kV circuit,assumed: per-unit resistance priced at the copper-plate marginal cost of $134.48/MWh
6,Waianae,Waialua,"north corridor, leeward coast",1,10.2032,12.754,0.053577,0.008037,200.0,1.080755,"Hawaiian Electric Power Delivery: two corridors, north and south",assumed: great-circle bus separation x 1.25 routing factor,assumed: 0.8 ohm/mi reactance and 0.12 ohm/mi resistance at 138 kV on a 100 MVA base,assumed: 200 MW per 138 kV circuit,assumed: per-unit resistance priced at the copper-plate marginal cost of $134.48/MWh
7,Waialua,Wahiawa,"north corridor, central",1,7.492199,9.365249,0.039342,0.005901,200.0,0.793597,"Hawaiian Electric Power Delivery: two corridors, north and south",assumed: great-circle bus separation x 1.25 routing factor,assumed: 0.8 ohm/mi reactance and 0.12 ohm/mi resistance at 138 kV on a 100 MVA base,assumed: 200 MW per 138 kV circuit,assumed: per-unit resistance priced at the copper-plate marginal cost of $134.48/MWh
8,Wahiawa,Ewa-Central,central tie to the Pearl Harbor corridor,2,8.095261,10.119077,0.042508,0.006376,400.0,0.857475,"Hawaiian Electric Power Delivery: two corridors, north and south",assumed: great-circle bus separation x 1.25 routing factor,assumed: 0.8 ohm/mi reactance and 0.12 ohm/mi resistance at 138 kV on a 100 MVA base,assumed: 200 MW per 138 kV circuit,assumed: per-unit resistance priced at the copper-plate marginal cost of $134.48/MWh
9,Waialua,Koolauloa,north shore,1,9.939874,12.424842,0.052194,0.007829,200.0,1.052862,"Hawaiian Electric Power Delivery: two corridors, north and south",assumed: great-circle bus separation x 1.25 routing factor,assumed: 0.8 ohm/mi reactance and 0.12 ohm/mi resistance at 138 kV on a 100 MVA base,assumed: 200 MW per 138 kV circuit,assumed: per-unit resistance priced at the copper-plate marginal cost of $134.48/MWh
10,Koolauloa,Koolaupoko,windward coast,1,19.037504,23.79688,0.099966,0.014995,200.0,2.016512,"Hawaiian Electric Power Delivery: two corridors, north and south",assumed: great-circle bus separation x 1.25 routing factor,assumed: 0.8 ohm/mi reactance and 0.12 ohm/mi resistance at 138 kV on a 100 MVA base,assumed: 200 MW per 138 kV circuit,assumed: per-unit resistance priced at the copper-plate marginal cost of $134.48/MWh
