name,fuel,p_min_mw,p_max_mw,varcost_usd_per_mwh,co2_kg_per_mwh,hour,demand_mw,dispatch_mw,emissions_kg_co2
H Power GEN1,Municipal solid waste,46.4,58.0,10.0,675.647608,6331,1054.257588,58.0,39187.561263999996
H Power GEN2,Municipal solid waste,22.4,28.0,10.0,675.647608,6331,1054.257588,28.0,18918.133024
Kalaeloa combined cycle,LSFO,88.0,220.0,96.054293,673.221871,6331,1054.257588,220.0,148108.81162
Kahe K1,LSFO,31.16,77.9,126.396861,887.813257,6331,1054.257588,77.9,69160.6527203
Kahe K2,LSFO,31.24,78.1,126.396861,887.813257,6331,1054.257588,78.1,69338.2153717
Kahe K3,LSFO,32.84,82.1,126.396861,887.813257,6331,1054.257588,82.1,72889.4683997
Kahe K4,LSFO,34.88,87.2,126.396861,887.813257,6331,1054.257588,87.2,77417.3160104
Kahe K5,LSFO,51.24,128.1,126.396861,887.813257,6331,1054.257588,128.1,113728.8782217
Kahe K6,LSFO,51.48,128.7,126.396861,887.813257,6331,1054.257588,128.7,114261.56617589999
Waiau W3,LSFO,18.88,47.2,134.48258,946.946646,6331,1054.257588,18.88,17878.352676479997
Waiau W4,LSFO,19.08,47.7,134.48258,946.946646,6331,1054.257588,19.08,18067.742005679997
Waiau W5,LSFO,20.76,51.9,134.48258,946.946646,6331,1054.257588,20.76,19658.61237096
Waiau W6,LSFO,20.72,51.8,134.48258,946.946646,6331,1054.257588,20.72,19620.73450512
Waiau W7,LSFO,31.12,77.8,134.48258,946.946646,6331,1054.257588,31.12,29468.97962352
Waiau W8,LSFO,31.12,77.8,134.48258,946.946646,6331,1054.257588,55.597587999999746,52647.94948228961
Schofield Generating Station S1,ULSD_SGS,0.0,8.4,147.332413,745.21916,6331,1054.257588,0.0,0.0
Schofield Generating Station S2,ULSD_SGS,0.0,8.4,147.332413,745.21916,6331,1054.257588,0.0,0.0
Schofield Generating Station S3,ULSD_SGS,0.0,8.4,147.332413,745.21916,6331,1054.257588,0.0,0.0
Schofield Generating Station S4,ULSD_SGS,0.0,8.4,147.332413,745.21916,6331,1054.257588,0.0,0.0
Schofield Generating Station S5,ULSD_SGS,0.0,8.4,147.332413,745.21916,6331,1054.257588,0.0,0.0
Schofield Generating Station S6,ULSD_SGS,0.0,8.4,147.332413,745.21916,6331,1054.257588,0.0,0.0
Waiau W10,Diesel,0.0,51.2,222.342737,1247.543544,6331,1054.257588,0.0,0.0
Waiau W9,Diesel,0.0,51.2,222.342737,1247.543544,6331,1054.257588,0.0,0.0
Campbell Industrial Park CIP1,ULSD_CIP,0.0,113.0,237.972266,1290.381474,6331,1054.257588,0.0,0.0
